DATE,AWND,PRCP,TAVG
2/1/2023,10.51,0.02,32
2/2/2023,10.29,0,32
2/3/2023,25.72,0,29
2/4/2023,17,0,12
2/5/2023,12.3,0,33
2/6/2023,12.97,0,42
2/7/2023,10.07,0.02,35
2/8/2023,11.41,0.01,43
2/9/2023,8.05,0,42
2/10/2023,15.66,0,52
2/11/2023,13.65,0,43
2/12/2023,6.26,0.04,39
2/13/2023,13.87,0,44
2/14/2023,14.32,0,47
2/15/2023,13.42,0,47
2/16/2023,5.82,0.08,51
2/17/2023,17.22,0.37,50
2/18/2023,15.43,0,34
2/19/2023,12.53,0,40
2/20/2023,8.28,0,47
2/21/2023,10.07,0.19,43
2/22/2023,8.05,0.17,40
2/23/2023,8.72,0.03,39
2/24/2023,18.57,0,42
2/25/2023,6.93,0,27
2/26/2023,10.51,0,33
2/27/2023,12.08,0.32,38
2/28/2023,11.41,0.29,34
